GO Highest Offense Desc,GO Location Zip
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF VEHICLE           ,78748
BURGLARY OF VEHICLE           ,78748
BURGLARY OF VEHICLE           ,78748
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78758
THEFT                         ,78753
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF VEHICLE           ,78758
THEFT                         ,78758
ROBBERY BY ASSAULT            ,78758
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF RESIDENCE         ,78758
AUTO THEFT                    ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
AGG ASLT STRANGLE/SUFFOCATE   ,78758
BURGLARY OF VEHICLE           ,78758
AGG ASLT ENHANC STRANGL/SUFFOC,78758
ROBBERY BY ASSAULT            ,78758
AGG ROBBERY/DEADLY WEAPON     ,78758
AGG ASLT STRANGLE/SUFFOCATE   ,78758
THEFT OF LICENSE PLATE        ,78758
AUTO THEFT                    ,78758
AUTO THEFT                    ,78758
BURGLARY OF RESIDENCE         ,78758
THEFT                         ,78758
BURGLARY OF VEHICLE           ,78758
AGG ASLT STRANGLE/SUFFOCATE   ,78758
AGG ASSAULT                   ,78758
BURGLARY OF VEHICLE           ,78758
BURG NON RESIDENCE SHEDS      ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
AGG ASSAULT                   ,78758
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
THEFT BY SHOPLIFTING          ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
THEFT                         ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78717
THEFT                         ,78753
THEFT                         ,78753
THEFT                         ,78753
AGG ROBBERY/DEADLY WEAPON     ,78759
THEFT                         ,78759
BURGLARY NON RESIDENCE        ,78753
BURG NON RESIDENCE SHEDS      ,78753
BURGLARY NON RESIDENCE        ,78753
BURGLARY NON RESIDENCE        ,78753
BURGLARY NON RESIDENCE        ,78753
BURGLARY OF VEHICLE           ,78759
THEFT BY SHOPLIFTING          ,78759
AGG ROBBERY/DEADLY WEAPON     ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF RESIDENCE         ,78748
AUTO THEFT                    ,78748
AUTO THEFT                    ,78748
BURGLARY OF RESIDENCE         ,78748
BURGLARY OF VEHICLE           ,78748
AUTO THEFT                    ,78748
AGG ROBBERY/DEADLY WEAPON     ,78748
BURGLARY OF VEHICLE           ,78748
BURGLARY OF RESIDENCE         ,78748
BURGLARY OF RESIDENCE         ,78748
AGG ROBBERY/DEADLY WEAPON     ,78747
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78748
AUTO THEFT                    ,78758
BURGLARY OF VEHICLE           ,78758
BURGLARY OF RESIDENCE         ,78758
THEFT                         ,78758
THEFT                         ,78748
AGG ASLT STRANGLE/SUFFOCATE   ,78753
BURGLARY OF RESIDENCE         ,78758
THEFT                         ,78750
THEFT                         ,78753
AUTO THEFT                    ,78753
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78753
AUTO THEFT                    ,78745
AGG ASLT STRANGLE/SUFFOCATE   ,78745
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78758
AUTO THEFT                    ,78704
AUTO THEFT                    ,78745
THEFT CATALYTIC CONVERTER     ,78751
BURGLARY OF VEHICLE           ,78702
BURGLARY OF VEHICLE           ,78702
THEFT                         ,78702
AUTO THEFT                    ,78704
AUTO THEFT                    ,78753
THEFT FROM PERSON             ,78701
THEFT FROM PERSON             ,78701
ROBBERY BY ASSAULT            ,78723
THEFT                         ,78753
THEFT                         ,78753
THEFT                         ,78753
THEFT                         ,78753
THEFT FROM AUTO               ,78753
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78702
AUTO THEFT                    ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT OF BICYCLE              ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
ROBBERY BY ASSAULT            ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
BURGLARY OF VEHICLE           ,78751
AGG ROBBERY/DEADLY WEAPON     ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT OF BICYCLE              ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT FROM AUTO               ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
AGG ROBBERY/DEADLY WEAPON     ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF COIN-OP MACHINE   ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF COIN-OP MACHINE   ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT OF BICYCLE              ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
AGG ASSAULT                   ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT FROM BUILDING           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT FROM AUTO               ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT                         ,78751
THEFT                         ,78751
AUTO THEFT                    ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURG NON RESIDENCE SHEDS      ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT FROM AUTO               ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY NON RESIDENCE        ,78751
THEFT                         ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
AGG ROBBERY/DEADLY WEAPON     ,78751
AGG ASLT STRANGLE/SUFFOCATE   ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
BURGLARY NON RESIDENCE        ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
ROBBERY BY ASSAULT            ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY NON RESIDENCE        ,78751
BURGLARY OF VEHICLE           ,78751
THEFT OF METAL                ,78702
THEFT                         ,78751
THEFT                         ,78702
THEFT                         ,78702
THEFT OF BICYCLE              ,78702
THEFT OF BICYCLE              ,78702
THEFT                         ,78702
THEFT OF BICYCLE              ,78702
BURGLARY OF VEHICLE           ,78702
THEFT OF BICYCLE              ,78702
BURGLARY OF VEHICLE           ,78702
BURGLARY OF VEHICLE           ,78702
BURGLARY OF VEHICLE           ,78702
AGG ASLT STRANGLE/SUFFOCATE   ,78702
THEFT                         ,78752
ROBBERY BY ASSAULT            ,78752
AGG ASSAULT                   ,78702
AUTO THEFT                    ,78758
THEFT FROM PERSON             ,78758
BURGLARY OF VEHICLE           ,78758
THEFT                         ,78758
BURGLARY OF VEHICLE           ,78701
THEFT FROM PERSON             ,78701
THEFT FROM PERSON             ,78701
THEFT FROM PERSON             ,78701
THEFT FROM PERSON             ,78701
THEFT FROM PERSON             ,78701
THEFT FROM PERSON             ,78701
AUTO THEFT                    ,78702
BURGLARY NON RESIDENCE        ,78702
BURGLARY OF VEHICLE           ,78702
THEFT OF BICYCLE              ,78702
THEFT OF BICYCLE              ,78702
THEFT                         ,78702
THEFT                         ,78702
AUTO THEFT                    ,78702
THEFT                         ,78702
THEFT OF BICYCLE              ,78702
BURGLARY OF VEHICLE           ,78702
BURGLARY OF VEHICLE           ,78702
BURGLARY OF VEHICLE           ,78702
THEFT                         ,78702
THEFT FROM PERSON             ,78702
THEFT                         ,78702
BURGLARY OF VEHICLE           ,78702
THEFT OF BICYCLE              ,78702
BURGLARY OF VEHICLE           ,78703
ROBBERY BY ASSAULT            ,78741
AGG ROBBERY/DEADLY WEAPON     ,78741
THEFT FROM PERSON             ,78701
BURGLARY OF VEHICLE           ,78701
BURGLARY OF VEHICLE           ,78705
THEFT OF BICYCLE              ,78705
BURGLARY OF VEHICLE           ,78705
BURGLARY OF VEHICLE           ,78705
BURGLARY OF VEHICLE           ,78705
THEFT BY SHOPLIFTING          ,78756
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78758
BURGLARY OF VEHICLE           ,78758
THEFT                         ,78758
THEFT OF HEAVY EQUIPMENT      ,78748
THEFT                         ,78750
BURG NON RESIDENCE SHEDS      ,78748
BURGLARY OF VEHICLE           ,78748
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY NON RESIDENCE        ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78758
THEFT OF BICYCLE              ,78759
THEFT OF BICYCLE              ,78759
THEFT OF BICYCLE              ,78759
BURG NON RESIDENCE SHEDS      ,78759
AUTO THEFT                    ,78748
THEFT                         ,78747
THEFT                         ,78729
AGG ASLT STRANGLE/SUFFOCATE   ,78729
AGG ASLT STRANGLE/SUFFOCATE   ,78729
THEFT                         ,78729
THEFT                         ,78729
BURGLARY OF RESIDENCE         ,78729
AUTO THEFT                    ,78747
BURGLARY NON RESIDENCE        ,78747
BURGLARY OF VEHICLE           ,78757
THEFT OF METAL                ,78745
BURGLARY OF RESIDENCE         ,78753
BURGLARY OF RESIDENCE         ,78753
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78753
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78753
AGG ASSAULT                   ,78753
THEFT FROM BUILDING           ,78701
THEFT OF LICENSE PLATE        ,78751
BURGLARY NON RESIDENCE        ,78745
THEFT                         ,78745
BURGLARY NON RESIDENCE        ,78745
AGG ASSAULT                   ,78745
BURGLARY NON RESIDENCE        ,78745
THEFT                         ,78758
THEFT OF BICYCLE              ,78704
BURGLARY OF RESIDENCE         ,78757
THEFT                         ,78758
BURGLARY OF RESIDENCE         ,78758
BURGLARY OF VEHICLE           ,78704
AUTO THEFT                    ,78758
AGG ASSAULT                   ,78758
BURGLARY OF VEHICLE           ,78704
BURGLARY OF VEHICLE           ,78704
THEFT                         ,78745
THEFT                         ,78746
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78758
BURGLARY OF VEHICLE           ,78748
THEFT                         ,78703
BURGLARY NON RESIDENCE        ,78703
THEFT                         ,78703
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78747
BURGLARY OF VEHICLE           ,78753
THEFT                         ,78753
BURGLARY OF VEHICLE           ,78759
BURGLARY OF VEHICLE           ,78759
THEFT                         ,78748
BURGLARY NON RESIDENCE        ,78748
THEFT                         ,78748
AGG ASSAULT FAM/DATE VIOLENCE ,78753
THEFT                         ,78705
AGG ASLT STRANGLE/SUFFOCATE   ,78753
